id;StazPrelievo;StazDeposito;x_StazPrelievo;y_StazPrelievo;x_StazDeposito;y_StazDeposito;distanza;duration_walk;duration_bike
0;Vittorio Emanuele;Sms Biblioteca;10.3987825;43.7101854;10.4191334;43.7065577;2056.0;1539.0;615.6
1;Sms Biblioteca;Stazione F.S.;10.4191334;43.7065577;10.3989605;43.7084709;2099.0;1600.0;640.0
2;Borgo Stretto;Stazione F.S.;10.4021322;43.7184126;10.3989605;43.7084709;1190.0;887.0;354.8
3;Stazione F.S.;Stazione F.S.;10.3989605;43.7084709;10.3989605;43.7084709;0.0;0.0;0.0
4;Stazione F.S.;Borgo Stretto;10.3989605;43.7084709;10.4021322;43.7184126;1190.0;905.0;362.0
5;Polo Marzotto;Stazione F.S.;10.4071847;43.7198029;10.3989605;43.7084709;1733.0;1292.0;516.8
6;Comune Palazzo Blu;Polo Marzotto;10.3998955;43.7157647;10.4071847;43.7198029;1036.0;766.0;306.4
7;Ospedale Cisanello;Teatro Tribunale;10.4401533;43.7067956;10.4051037;43.7163803;3340.0;2527.0;1010.8
8;Polo Marzotto;Vittorio Emanuele;10.4071847;43.7198029;10.3987825;43.7101854;1627.0;1197.0;478.8
9;Vittorio Emanuele;Borgo Stretto;10.3987825;43.7101854;10.4021322;43.7184126;1085.0;809.0;323.6
10;Teatro Tribunale;Vittorio Emanuele;10.4051037;43.7163803;10.3987825;43.7101854;1117.0;823.0;329.2
11;Vittorio Emanuele;Teatro Tribunale;10.3987825;43.7101854;10.4051037;43.7163803;1117.0;825.0;330.0
12;Teatro Tribunale;Teatro Tribunale;10.4051037;43.7163803;10.4051037;43.7163803;0.0;0.0;0.0
13;Pratale;Polo Marzotto;10.4184265;43.7215365;10.4071847;43.7198029;1281.0;986.0;394.4
14;Polo Marzotto;Pratale;10.4071847;43.7198029;10.4184265;43.7215365;1262.0;942.0;376.8
15;Duomo;Vittorio Emanuele;10.3919852;43.7228627;10.3987825;43.7101854;1853.0;1411.0;564.4
16;Vittorio Emanuele;Comune Palazzo Blu;10.3987825;43.7101854;10.3998955;43.7157647;760.0;557.0;222.8
17;Borgo Stretto;Vittorio Emanuele;10.4021322;43.7184126;10.3987825;43.7101854;1085.0;791.0;316.4
18;Vittorio Emanuele;Palacongressi;10.3987825;43.7101854;10.4097121;43.7106075;1001.0;788.0;315.2
19;Palacongressi;Comune Palazzo Blu;10.4097121;43.7106075;10.3998955;43.7157647;1225.0;922.0;368.8
